country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,tier_I,tier_II,tier_III,tier_IV,has_tier_info,num_cooling_technologies,region
Romania,4.110873864173311,0.0,4.110873864173311,12.694655727828803,4.61512051684126,92.0,92.0,8.497194544909547,0.0,0.0,1.0,1.0,1.0,5.0,Europe
Rwanda,1.6094379124341003,0.0,1.6094379124341003,8.987321812850125,1.0986122886681098,38.0,38.0,5.351858133476067,0.0,1.0,0.0,0.0,1.0,3.0,Africa
Saint Kitts and Nevis,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,1.0986122886681098,55.62,70.0,6.471418507206885,0.0,0.0,1.0,0.0,0.0,3.0,Latin America
Saint Lucia,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,1.0986122886681098,74.0,74.0,3.044522437723423,0.0,0.0,1.0,0.0,1.0,3.0,Latin America
Saint Vincent and the Grenadines,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,1.0986122886681098,77.7,77.7,3.9318256327243257,0.0,0.0,1.0,0.0,1.0,3.0,Latin America
Samoa,1.0986122886681098,0.0,1.0986122886681098,9.210440366976517,0.6931471805599453,75.0,75.0,6.966967138613983,0.0,1.0,0.0,0.0,1.0,3.0,Oceania
San Marino,0.6931471805599453,0.0,0.6931471805599453,8.517393171418904,0.6931471805599453,42.46,50.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Europe
Sao Tome and Principe,0.0,0.0,0.0,0.0,0.0,61.5,61.5,5.303304908059076,0.0,0.0,1.0,0.0,0.0,3.0,Africa
Saudi Arabia,3.6109179126442243,0.0,3.6109179126442243,14.137594781770806,5.846438775057725,99.0,99.0,7.473637108496206,0.0,0.0,1.0,1.0,1.0,7.0,Middle East
Senegal,1.3862943611198906,0.0,1.3862943611198906,10.463131911491967,2.5649493574615367,60.6,60.6,5.442417710521793,0.0,0.0,1.0,0.0,1.0,4.0,Africa
Serbia,2.6390573296152584,0.0,2.6390573296152584,12.611541086966115,4.61512051684126,88.0,87.7,6.236369590203704,0.0,0.0,1.0,0.0,1.0,4.0,Europe
Seychelles,0.6931471805599453,0.0,0.6931471805599453,8.517393171418904,0.6931471805599453,87.4,87.4,5.25227342804663,0.0,1.0,0.0,0.0,1.0,3.0,Africa
Sierra Leone,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,0.6931471805599453,4.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Africa
Slovakia,2.6390573296152584,0.0,2.6390573296152584,11.832651114130682,3.4339872044851463,92.0,92.0,6.311734809152915,0.0,0.0,1.0,0.0,1.0,4.0,Europe
Slovenia,3.091042453358316,0.0,3.091042453358316,11.832651114130682,3.4339872044851463,92.0,92.0,6.55250788703459,0.0,0.0,1.0,0.0,1.0,4.0,Europe
Solomon Islands,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,0.6931471805599453,2.0,13.0,5.993961427306569,0.0,0.0,1.0,0.0,0.0,4.0,Oceania
Somalia,2.4849066497880004,0.0,2.4849066497880004,10.463131911491967,2.3978952727983707,55.2,55.2,5.860786223465865,0.0,0.0,1.0,0.0,1.0,5.0,Africa
South Sudan,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,0.6931471805599453,0.0,13.0,6.68586094706836,0.0,0.0,1.0,0.0,0.0,5.0,Africa
Sri Lanka,1.6094379124341003,0.0,1.6094379124341003,11.461642696843066,3.258096538021482,90.0,90.0,6.61472560020376,0.0,0.0,1.0,1.0,1.0,5.0,Asia
Sudan,1.3862943611198906,0.0,1.3862943611198906,10.085850775128717,2.772588722239781,28.7,28.700000000000003,5.081404364984463,0.0,0.0,1.0,0.0,1.0,4.0,Africa
